profession	name	skill	source
tailoring	Filigreed Silky Circlet	125	Pattern: nobody has found it in the beta yet
engineering	SAF-T Bronze Bomb	145	nobody has found it in the beta yet
engineering	SAF-T Jumbo Dynamite	150	nobody has found it in the beta yet
engineering	Shafety Sheep	175	nobody has found it in the beta yet
engineering	EZ-Thro Grenade	200	nobody has found it in the beta yet
engineering	SAF-T Bomb	215	nobody has found it in the beta yet
engineering	Tru-Trigger Frag Bomb	240	nobody has found it in the beta yet
engineering	Unsanctified Grenade	260	nobody has found it in the beta yet
engineering	SAF-T Clever Dynamite	275	nobody has found it in the beta yet
engineering	EZ-Thro Thorium Grenade	285	nobody has found it in the beta yet
engineering	EZ-Thro Dark Bomb	300	nobody has found it in the beta yet
engineering	EZ-Thro Mana Bomb	300	nobody has found it in the beta yet
engineering	Anarchist's Workbench	300	Blueprint
alchemy	Minor Mender's Potion	30	Recipe drops from Gnarlpine Mystic, Teldrassil
alchemy	Minor Spellblasting Potion	35	Recipe drops from Kobold Geomancer, Elwynn Forest
alchemy	Minor Frenzy Potion	40	Recipe drops from Windfury Wind Witch, Mulgore; Bloodfeather Harpy, Teldrassil
alchemy	Lesser Mender's Potion	80	Recipe drops from Theramore Preserver, The Barrens; Stormscale Siren, Darkshore
alchemy	Lesser Spellblasting Potion	85	Recipe drops from Witchwing Windcaller, The Barrens
alchemy	Lesser Frenzy Potion	90	Recipe drops from Raging Rot Hide, Silverpine Forest
alchemy	Greater Spellblasting Potion	185	Recipe sold by Gorhak, Desolace
alchemy	Greater Frenzy Potion	190	Recipe sold by Gorhak, Desolace
alchemy	Superior Mender's Potion	230	nobody has found it in the beta yet
alchemy	Superior Spellblasting Potion	235	nobody has found it in the beta yet
alchemy	Superior Frenzy Potion	240	nobody has found it in the beta yet
alchemy	Potion of Beast Culling	280	nobody has found it in the beta yet
alchemy	Fermenter	140	Blueprint
alchemy	Alchemy Laboratory	300	Blueprint
cooking	Skywall Souffle	25	reward of the quest Restocking the Larders
cooking	Breakfast Omelette	75	drops from Dire Condor, Redridge Mountains
cooking	Giant Scrambled Eggs	175	nobody has found it in the beta yet
cooking	Savory Turtle Stew	275	nobody has found it in the beta yet
cooking	Cookie's Feast	140	Blueprint
cooking	Iron Oven	300	Blueprint
first_aid	Toxin Study	140	Blueprint
first_aid	Plague Doctor's Laboratory	300	Blueprint
enchanting	Arcane Salvager	140	Blueprint
enchanting	Arcane Forge	300	Blueprint
alchemy	Mana Well	11	Blueprint
alchemy	Minor Discolored Healing Potion	50	Recipe: reward of the quest Wild Hearts (level 11, Horde)
alchemy	Swiftness Potion	60	Recipe: a world drop, from creatures level 5 to 25
alchemy	Restorative Potion	210	Not from a trainer: a quest or a teacher of its own in Classic
alchemy	Lesser Stoneshield Potion	215	Recipe: reward of the quest Liquid Stone (level 37)
enchanting	Mystic Mushroom	130	Blueprint
enchanting	Polished Driftwood Icon	130	Blueprint
enchanting	Tenets of the Silver Hand	130	Blueprint
enchanting	Libram of Invocation	210	Blueprint
enchanting	Talons of Wrath	210	Blueprint
enchanting	Totem of Ancestral Protection	210	Blueprint
enchanting	Idol of Swiftness	300	Blueprint
enchanting	Idol of the Ursine Twins	300	Blueprint
enchanting	Libram of Infusion	300	Blueprint
enchanting	Steadfast Libram	300	Blueprint
enchanting	Totem of Urgency	300	Blueprint
enchanting	Winter's Might	190	nobody has found it in the beta yet
tailoring	Flame Gown	110	Pattern sold by Cowardly Crosby, Stranglethorn Vale
tailoring	Pearly Gown	110	Pattern sold by Cowardly Crosby, Stranglethorn Vale
tailoring	Pristine Boots	100	nobody has found it in the beta yet
engineering	Repair Bot	140	Blueprint
alchemy	Greater Holy Protection Potion	290	Recipe drops from Scarlet Alchemist, Scarlet Enclave
enchanting	Enchant Weapon - Healing Power	300	Formula drops in Molten Core
enchanting	Enchant Weapon - Spell Power	300	Formula drops in Molten Core
enchanting	Enchant Bracer - Strength	100	Formula sold by Dalria (Alliance) or Kulwia (Horde)
cooking	Venomous Smoothie	25	Merchant's Favor skill 25 to 125
cooking	Slimy Smoothie	100	Merchant's Favor skill 25 to 125
cooking	Mrrggl Smrrthle	100	Merchant's Favor skill 25 to 125
cooking	Calcified Smoothie	180	Merchant's Favor skill 180 to 200
cooking	Spicy Smoothie	180	Merchant's Favor skill 180 to 200
cooking	Wicked Smoothie	250	Merchant's Favor skill 250
first_aid	Simple Poultice	1	Learned from the trainer
alchemy	Elixir of the Phalanx	250	180 Merchant's Favor skill 250 to 285
alchemy	Caustic Smog Potion	265	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of Cunning	250	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of Ferocity	250	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of Sages	250	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of the Whale	250	180 Merchant's Favor skill 250 to 285
alchemy	Potion of Venomous Blood	275	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of the Owl	250	180 Merchant's Favor skill 250 to 285
alchemy	Major Mender's Potion	280	180 Merchant's Favor skill 250 to 285
alchemy	Potion of Elemental Siphoning	280	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of Nature Power	250	180 Merchant's Favor skill 250 to 285
alchemy	Elixir of Wicked Regeneration	250	180 Merchant's Favor skill 250 to 285
alchemy	Major Spellblasting Potion	285	180 Merchant's Favor skill 250 to 285
alchemy	Major Frenzy Potion	290	240 Merchant's Favor skill 290 to 300
alchemy	Elixir of the Grizzly	300	240 Merchant's Favor skill 290 to 300
alchemy	Minor Arcane Elixir	65	45 Merchant's Favor skill 65 to 140
alchemy	Discolored Healing Potion	120	Trainer
alchemy	Elixir of Lesser Spirit	65	45 Merchant's Favor skill 65 to 140
alchemy	Lesser Mageblood Elixir	65	45 Merchant's Favor skill 65 to 140
alchemy	Elixir of Lesser Intellect	65	45 Merchant's Favor skill 65 to 140
alchemy	Lesser Cleric's Elixir	65	45 Merchant's Favor skill 65 to 140
alchemy	Lesser Arcane Elixir	65	45 Merchant's Favor skill 65 to 140
alchemy	Mender's Potion	130	45 Merchant's Favor skill 65 to 140
alchemy	Spellblasting Potion	135	45 Merchant's Favor skill 65 to 140
alchemy	Frenzy Potion	140	45 Merchant's Favor skill 65 to 140
alchemy	Elixir of Greater Spirit	165	120 Merchant's Favor skill 165 to 245
alchemy	Greater Mageblood Elixir	165	120 Merchant's Favor skill 165 to 245
alchemy	Greater Cleric's Elixir	165	120 Merchant's Favor skill 165 to 245
alchemy	Elixir of Greater Fortitude	165	120 Merchant's Favor skill 165 to 245
alchemy	Disorienting Smog Potion	180	120 Merchant's Favor skill 165 to 245
alchemy	Dragonfire Potion	245	120 Merchant's Favor skill 165 to 245
